id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,97,35,45,71,75,hold,baseline,monotonic-signal
g002,lineage depth,114,61,6,97,356,ship,edge,drag-penalty
g003,partition skew,82,42,9,43,204,watch,recovery,confidence-floor
g004,quality gap,114,35,33,92,190,watch,negative,lane-boundary
g005,schema drift,45,69,5,78,212,ship,baseline,monotonic-signal
g006,lineage depth,58,18,34,76,40,hold,edge,drag-penalty
g007,partition skew,112,65,29,79,223,ship,recovery,confidence-floor
g008,quality gap,99,56,7,42,261,ship,negative,lane-boundary
g009,schema drift,52,19,19,28,56,hold,baseline,monotonic-signal
g010,lineage depth,76,73,5,69,269,ship,edge,drag-penalty
g011,partition skew,91,33,21,94,204,watch,recovery,confidence-floor
g012,quality gap,58,50,9,68,189,watch,negative,lane-boundary
g013,schema drift,45,61,7,59,175,watch,baseline,monotonic-signal
g014,lineage depth,86,69,26,102,213,ship,edge,drag-penalty
g015,partition skew,110,41,16,85,266,ship,recovery,confidence-floor
g016,quality gap,38,29,34,38,-27,hold,negative,lane-boundary
g017,schema drift,49,61,23,62,106,hold,baseline,monotonic-signal
g018,lineage depth,58,9,40,36,-39,hold,edge,drag-penalty
g019,partition skew,110,56,8,27,263,ship,recovery,confidence-floor
g020,quality gap,96,12,15,70,199,watch,negative,lane-boundary
g021,schema drift,92,62,20,96,242,ship,baseline,monotonic-signal
g022,lineage depth,50,55,24,42,77,hold,edge,drag-penalty
g023,partition skew,76,54,27,91,162,watch,recovery,confidence-floor
g024,quality gap,49,56,30,77,81,hold,negative,lane-boundary
g025,schema drift,39,39,33,75,27,hold,baseline,monotonic-signal
g026,lineage depth,37,18,36,78,-10,hold,edge,drag-penalty
g027,partition skew,40,10,18,41,41,hold,recovery,confidence-floor
g028,quality gap,45,44,32,27,1,hold,negative,lane-boundary
g029,schema drift,51,63,19,68,138,watch,baseline,monotonic-signal
g030,lineage depth,101,40,14,93,265,ship,edge,drag-penalty
g031,partition skew,86,66,34,67,135,watch,recovery,confidence-floor
g032,quality gap,50,47,4,58,185,watch,negative,lane-boundary
g033,schema drift,67,40,32,101,115,hold,baseline,monotonic-signal
g034,lineage depth,35,74,6,84,198,watch,edge,drag-penalty
g035,partition skew,67,23,36,37,14,hold,recovery,confidence-floor
